7 - seven
0 - zero
6 - six
8 - eight
5 - five
9 - nine
8 - eight
1 - one
8 - eight
6 - six
3 - three
3 - three
0 - zero
7 - seven
8 - eight
5 - five
0 - zero
2 - two
9 - nine
7 - seven
8 - eight
9 - nine
2 - two
6 - six
3 - three
0 - zero
9 - nine
6 - six
8 - eight
9 - nine
8 - eight
3 - three
6 - six
5 - five
1 - one
1 - one
2 - two
3 - three
1 - one
7 - seven
7 - seven
0 - zero
7 - seven
3 - three
8 - eight
4 - four
3 - three
2 - two
9 - nine
1 - one
7 - seven
0 - zero
0 - zero
5 - five
3 - three
1 - one
7 - seven
7 - seven
4 - four
8 - eight
1 - one
6 - six
7 - seven
8 - eight
1 - one
5 - five
7 - seven
1 - one
3 - three
1 - one
9 - nine
6 - six
8 - eight
9 - nine
2 - two
8 - eight
2 - two
7 - seven
7 - seven
9 - nine
7 - seven
0 - zero
0 - zero
1 - one
3 - three
6 - six
0 - zero
4 - four
2 - two
3 - three
1 - one
1 - one
9 - nine
8 - eight
7 - seven
6 - six
6 - six
0 - zero
2 - two
5 - five
