4 - four
7 - seven
3 - three
1 - one
6 - six
3 - three
3 - three
9 - nine
8 - eight
5 - five
6 - six
1 - one
4 - four
3 - three
0 - zero
2 - two
3 - three
6 - six
5 - five
1 - one
6 - six
8 - eight
6 - six
5 - five
4 - four
4 - four
7 - seven
3 - three
8 - eight
2 - two
4 - four
9 - nine
7 - seven
7 - seven
2 - two
4 - four
3 - three
8 - eight
3 - three
6 - six
1 - one
4 - four
4 - four
3 - three
4 - four
3 - three
7 - seven
1 - one
7 - seven
3 - three
6 - six
2 - two
4 - four
7 - seven
3 - three
2 - two
2 - two
5 - five
2 - two
4 - four
1 - one
5 - five
9 - nine
4 - four
9 - nine
4 - four
4 - four
1 - one
4 - four
0 - zero
0 - zero
7 - seven
9 - nine
8 - eight
2 - two
8 - eight
3 - three
2 - two
3 - three
6 - six
9 - nine
6 - six
0 - zero
5 - five
5 - five
4 - four
4 - four
6 - six
8 - eight
9 - nine
3 - three
4 - four
9 - nine
9 - nine
2 - two
9 - nine
3 - three
8 - eight
4 - four
3 - three
