6 - six
1 - one
5 - five
7 - seven
1 - one
5 - five
3 - three
1 - one
9 - nine
3 - three
7 - seven
7 - seven
8 - eight
4 - four
6 - six
2 - two
7 - seven
7 - seven
1 - one
9 - nine
6 - six
4 - four
7 - seven
1 - one
1 - one
5 - five
8 - eight
4 - four
4 - four
3 - three
3 - three
4 - four
4 - four
7 - seven
4 - four
4 - four
3 - three
9 - nine
1 - one
3 - three
0 - zero
7 - seven
6 - six
3 - three
9 - nine
4 - four
9 - nine
0 - zero
5 - five
2 - two
1 - one
2 - two
7 - seven
8 - eight
9 - nine
2 - two
8 - eight
4 - four
6 - six
2 - two
1 - one
4 - four
1 - one
4 - four
0 - zero
7 - seven
2 - two
5 - five
3 - three
2 - two
1 - one
1 - one
8 - eight
5 - five
3 - three
9 - nine
8 - eight
4 - four
2 - two
9 - nine
3 - three
8 - eight
8 - eight
3 - three
8 - eight
0 - zero
5 - five
3 - three
3 - three
7 - seven
1 - one
7 - seven
8 - eight
8 - eight
1 - one
3 - three
6 - six
7 - seven
3 - three
1 - one
